                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.67144,                 2.2341,                 4.3277,                  1.179,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.39767,                 0.9078,                 3.9309,                 1.1083,                  7e-05,                  7e-05,                  7e-05
                      2,                0.43316,                0.77542,                 3.6846,                 1.0117,                0.06539,                0.90129,                0.31308,                0.26835,                0.06539,                0.90129,                0.31308,                0.28812,                0.50353,                0.60703,                 3.3807,                 1.1971,             0.00014109,             0.00014109,             0.00014109
                      3,                0.44332,                0.69044,                  2.913,                 1.0143,                0.62945,                0.60872,                0.74149,                0.66907,                0.62945,                0.60872,                0.74149,                0.68172,                0.47545,                0.52744,                 2.0145,                 1.1856,             0.00021074,             0.00021074,             0.00021074
                      4,                0.42238,                0.66997,                 2.1417,                0.99068,                0.71761,                0.59866,                 0.8233,                0.67336,                 0.7193,                0.60118,                0.84817,                0.77577,                0.59584,                0.62323,                 2.0065,                 1.2052,             0.00024258,             0.00024258,             0.00024258
                      5,                0.39454,                0.67235,                 1.6809,                0.97434,                0.80687,                0.80644,                0.96846,                0.88027,                0.80687,                0.80644,                0.96846,                0.88012,                0.50703,                0.53358,                 1.1963,                 1.1517,             0.00024258,             0.00024258,             0.00024258
                      6,                0.36302,                0.64166,                 1.3299,                0.95117,                0.89427,                0.96676,                  0.995,                0.93968,                0.89427,                0.96676,                  0.995,                0.92772,                0.37518,                0.53204,                0.60327,                  1.028,              0.0002401,              0.0002401,              0.0002401
                      7,                0.36286,                0.60434,                 1.1866,                0.95631,                0.83426,                0.97998,                  0.995,                0.95894,                0.83426,                0.97998,                  0.995,                0.94218,                0.36825,                0.47941,                0.80239,                 1.0611,             0.00023763,             0.00023763,             0.00023763
                      8,                0.35199,                0.63518,                  1.069,                0.94149,                0.92415,                0.95524,                  0.995,                0.95653,                0.92415,                0.95524,                  0.995,                0.94131,                0.34085,                0.46931,                0.64317,                 1.0333,             0.00023515,             0.00023515,             0.00023515
                      9,                0.34675,                0.62033,                 0.9791,                0.94093,                0.96359,                0.95435,                  0.995,                0.96313,                0.96359,                0.95435,                  0.995,                0.94853,                0.33147,                0.45922,                0.49393,                0.99872,             0.00023268,             0.00023268,             0.00023268
                     10,                0.34649,                 0.6063,                0.88382,                0.94043,                0.94258,                0.99498,                  0.995,                0.96414,                0.94258,                0.99498,                  0.995,                 0.9413,                0.33907,                0.48503,                0.51812,                0.98823,              0.0002302,              0.0002302,              0.0002302
                     11,                0.33423,                0.62237,                 0.8376,                0.93715,                0.94479,                0.95823,                  0.995,                0.96058,                0.94479,                0.95823,                  0.995,                0.94905,                0.32004,                0.46199,                0.58985,                0.96874,             0.00022773,             0.00022773,             0.00022773
                     12,                0.33128,                0.61183,                0.79454,                0.92885,                0.95708,                0.98824,                  0.995,                0.96466,                0.95708,                0.98824,                  0.995,                0.95037,                0.29319,                0.45661,                 0.4319,                0.94971,             0.00022525,             0.00022525,             0.00022525
                     13,                0.32475,                0.58374,                0.75781,                0.93208,                0.97342,                      1,                  0.995,                 0.9739,                0.97342,                      1,                  0.995,                0.94941,                0.28088,                0.45903,                0.36994,                0.93353,             0.00022278,             0.00022278,             0.00022278
                     14,                0.33098,                0.59649,                0.73416,                0.93311,                0.96233,                0.99201,                  0.995,                0.94681,                0.96233,                0.99201,                  0.995,                0.93986,                 0.3452,                0.46618,                0.41137,                0.99169,              0.0002203,              0.0002203,              0.0002203
                     15,                 0.3212,                0.59347,                0.68274,                0.92469,                0.96305,                0.99962,                  0.995,                0.96376,                0.96305,                0.99962,                  0.995,                0.95347,                0.31958,                0.43982,                0.37814,                0.98857,             0.00021782,             0.00021782,             0.00021782
                     16,                0.31601,                 0.5776,                0.66074,                0.92668,                0.96472,                      1,                  0.995,                0.97542,                0.96472,                      1,                  0.995,                0.94862,                0.27425,                0.45384,                0.33363,                0.93089,             0.00021535,             0.00021535,             0.00021535
                     17,                0.32595,                0.59567,                0.64404,                0.92375,                0.96005,                0.98579,                0.99449,                0.96784,                0.96005,                0.98579,                0.99449,                0.95443,                0.28369,                0.44845,                0.33635,                0.93051,             0.00021288,             0.00021288,             0.00021288
                     18,                0.31409,                0.56933,                0.60873,                0.92997,                 0.9553,                0.98293,                  0.995,                0.97454,                 0.9553,                0.98293,                  0.995,                0.95759,                0.30204,                0.43743,                0.36792,                0.95012,              0.0002104,              0.0002104,              0.0002104
                     19,                0.32671,                 0.5805,                0.59295,                0.93667,                0.98053,                0.99039,                  0.995,                0.96263,                0.98053,                0.99039,                  0.995,                0.95349,                 0.3162,                0.45083,                0.30743,                0.96867,             0.00020792,             0.00020792,             0.00020792
                     20,                0.31408,                0.56656,                0.57159,                0.92414,                0.98136,                      1,                  0.995,                 0.9629,                0.98136,                      1,                  0.995,                0.95517,                0.30106,                0.42988,                0.32433,                0.95922,             0.00020545,             0.00020545,             0.00020545
                     21,                0.31282,                0.57023,                0.55507,                0.92376,                0.96352,                0.99787,                  0.995,                0.97848,                0.96352,                0.99787,                  0.995,                0.95632,                0.27678,                0.43809,                0.31102,                0.93342,             0.00020298,             0.00020298,             0.00020298
                     22,                0.31177,                0.58306,                0.56737,                0.92155,                 0.9767,                      1,                  0.995,                0.97603,                 0.9767,                      1,                  0.995,                0.96114,                0.27051,                0.43404,                0.29872,                0.93303,              0.0002005,              0.0002005,              0.0002005
                     23,                0.30494,                0.56725,                0.53163,                 0.9204,                0.97393,                0.98939,                  0.995,                0.96924,                0.97393,                0.98939,                  0.995,                0.95609,                0.29315,                0.43733,                0.31301,                0.94116,             0.00019803,             0.00019803,             0.00019803
                     24,                 0.3035,                0.56612,                0.51233,                0.91617,                0.97254,                0.99479,                  0.995,                0.97656,                0.97254,                0.99479,                  0.995,                0.96243,                0.26442,                0.42033,                0.30701,                0.91607,             0.00019555,             0.00019555,             0.00019555
                     25,                0.30698,                0.56572,                0.49813,                0.91511,                0.96483,                0.99594,                  0.995,                0.97082,                0.96483,                0.99594,                  0.995,                0.96111,                0.28242,                0.43113,                0.28168,                 0.9349,             0.00019307,             0.00019307,             0.00019307
                     26,                0.30989,                0.56115,                0.49227,                0.92188,                0.98332,                0.99151,                  0.995,                 0.9769,                0.98332,                0.99151,                  0.995,                 0.9576,                0.27703,                 0.4352,                0.28055,                0.92516,              0.0001906,              0.0001906,              0.0001906
                     27,                0.30428,                0.56474,                 0.4769,                0.91769,                0.95766,                      1,                  0.995,                0.98124,                0.95766,                      1,                  0.995,                0.96085,                0.25856,                0.43752,                0.28478,                0.91471,             0.00018812,             0.00018812,             0.00018812
                     28,                0.29963,                0.55536,                0.45825,                0.91606,                0.98171,                0.99933,                  0.995,                0.97238,                0.98171,                0.99933,                  0.995,                0.96612,                0.28047,                0.42417,                0.25245,                0.92828,             0.00018565,             0.00018565,             0.00018565
                     29,                0.29339,                  0.539,                0.45164,                0.91371,                0.97126,                0.99408,                  0.995,                0.97057,                0.97126,                0.99408,                  0.995,                 0.9611,                 0.2711,                0.42779,                0.26846,                0.92015,             0.00018318,             0.00018318,             0.00018318
                     30,                0.29923,                0.55174,                0.45921,                0.91652,                0.97607,                0.99887,                  0.995,                0.97403,                0.97607,                0.99887,                  0.995,                0.95753,                0.28626,                0.43433,                0.30088,                0.93798,              0.0001807,              0.0001807,              0.0001807
                     31,                0.29689,                0.55212,                0.44853,                0.91132,                0.95015,                0.99767,                  0.995,                0.97812,                0.95015,                0.99767,                  0.995,                0.96161,                  0.262,                0.43375,                0.29498,                0.91388,             0.00017823,             0.00017823,             0.00017823
                     32,                0.29104,                 0.5445,                0.42784,                 0.9108,                0.97838,                      1,                  0.995,                0.98105,                0.97838,                      1,                  0.995,                0.96267,                0.25924,                0.41823,                0.25595,                0.91056,             0.00017575,             0.00017575,             0.00017575
                     33,                0.28783,                0.53454,                0.42965,                0.91617,                0.97437,                0.99356,                  0.995,                0.97835,                0.97437,                0.99356,                  0.995,                0.96341,                0.25954,                0.42477,                 0.2589,                0.91717,             0.00017327,             0.00017327,             0.00017327
                     34,                0.29231,                0.54261,                0.41269,                0.91208,                0.96678,                0.99321,                  0.995,                0.97197,                0.96678,                0.99321,                  0.995,                0.95741,                0.26941,                0.42069,                0.25701,                0.92484,              0.0001708,              0.0001708,              0.0001708
                     35,                0.28441,                0.54036,                0.40321,                0.90822,                0.97314,                0.99682,                  0.995,                0.98277,                0.97314,                0.99682,                  0.995,                0.96028,                0.26288,                0.42995,                0.25486,                0.92381,             0.00016832,             0.00016832,             0.00016832
                     36,                0.30288,                0.57547,                0.41301,                0.91605,                0.97939,                0.99521,                  0.995,                0.97511,                0.97939,                0.99521,                  0.995,                0.95772,                0.26134,                0.43185,                0.24893,                0.91119,             0.00016585,             0.00016585,             0.00016585
                     37,                0.28388,                0.53789,                0.38165,                0.90636,                0.97684,                0.99231,                  0.995,                0.97232,                0.97684,                0.99231,                  0.995,                0.96195,                0.26582,                0.41819,                0.25465,                 0.9176,             0.00016338,             0.00016338,             0.00016338
                     38,                0.29374,                0.52791,                0.38603,                0.90903,                0.97711,                0.99004,                  0.995,                 0.9716,                0.97711,                0.99004,                  0.995,                0.96458,                0.26759,                0.42906,                0.26331,                0.91941,              0.0001609,              0.0001609,              0.0001609
                     39,                0.29427,                0.53292,                0.37516,                0.91438,                 0.9748,                0.99766,                  0.995,                0.98041,                 0.9748,                0.99766,                  0.995,                0.96287,                0.24344,                0.42288,                0.24516,                0.90139,             0.00015843,             0.00015843,             0.00015843
                     40,                0.28719,                 0.5324,                0.37384,                0.91519,                0.96741,                0.99312,                  0.995,                 0.9765,                0.96741,                0.99312,                  0.995,                0.96288,                0.23926,                 0.4159,                0.22876,                0.88453,             0.00015595,             0.00015595,             0.00015595
                     41,                 0.2877,                0.53278,                0.36995,                 0.9137,                0.98481,                0.99428,                  0.995,                0.98022,                0.98481,                0.99428,                  0.995,                0.96238,                0.24813,                0.42047,                0.22821,                 0.9008,             0.00015348,             0.00015348,             0.00015348
                     42,                0.28232,                0.53248,                0.35417,                0.90601,                0.97566,                0.99746,                  0.995,                0.97663,                0.97566,                0.99746,                  0.995,                0.96492,                0.24448,                0.41366,                0.22311,                0.90105,               0.000151,               0.000151,               0.000151
                     43,                0.28563,                0.52981,                0.36125,                0.90575,                0.97895,                0.99344,                  0.995,                0.97649,                0.97895,                0.99344,                  0.995,                0.96109,                 0.2561,                0.42617,                0.24217,                0.90756,             0.00014853,             0.00014853,             0.00014853
                     44,                0.28724,                0.53858,                0.36449,                 0.9117,                0.96787,                0.99588,                  0.995,                0.98381,                0.96787,                0.99588,                  0.995,                0.96327,                0.24386,                0.41695,                0.23297,                0.89486,             0.00014605,             0.00014605,             0.00014605
                     45,                0.28952,                0.53879,                0.36467,                0.90986,                0.98184,                      1,                  0.995,                0.98446,                0.98184,                      1,                  0.995,                0.96864,                 0.2334,                0.41139,                  0.217,                0.88765,             0.00014358,             0.00014358,             0.00014358
                     46,                0.27959,                0.52424,                0.34013,                0.90548,                0.98062,                0.99829,                  0.995,                0.98569,                0.98062,                0.99829,                  0.995,                0.96416,                0.22866,                0.42604,                0.22729,                0.88286,              0.0001411,              0.0001411,              0.0001411
                     47,                0.28765,                 0.5295,                0.36517,                0.90993,                0.96916,                0.99653,                  0.995,                0.98232,                0.96916,                0.99653,                  0.995,                0.96485,                0.23971,                0.40609,                0.23892,                0.89276,             0.00013862,             0.00013862,             0.00013862
                     48,                0.28686,                0.52937,                0.34373,                0.90995,                0.97534,                0.98735,                  0.995,                0.98187,                0.97534,                0.98735,                  0.995,                0.96689,                0.26087,                 0.4011,                0.22889,                 0.9066,             0.00013615,             0.00013615,             0.00013615
                     49,                0.27852,                0.51588,                0.33502,                0.90579,                0.98068,                0.99817,                  0.995,                 0.9838,                0.98068,                0.99817,                  0.995,                0.96539,                 0.2312,                 0.4192,                0.20834,                0.88851,             0.00013368,             0.00013368,             0.00013368
                     50,                0.27648,                0.51695,                0.32694,                0.90139,                0.98155,                 0.9995,                  0.995,                0.98333,                0.98155,                 0.9995,                  0.995,                0.96434,                0.22819,                0.41194,                0.20248,                 0.8816,              0.0001312,              0.0001312,              0.0001312
                     51,                 0.2768,                0.51629,                0.31976,                0.91165,                0.98153,                0.99811,                  0.995,                0.98414,                0.98153,                0.99811,                  0.995,                0.96582,                0.23407,                 0.4159,                0.22251,                0.88671,             0.00012872,             0.00012872,             0.00012872
                     52,                0.27633,                0.51921,                0.33548,                0.90798,                0.97811,                0.99591,                  0.995,                0.98229,                0.97811,                0.99591,                  0.995,                0.96537,                0.23392,                0.40838,                0.21478,                0.88726,             0.00012625,             0.00012625,             0.00012625
                     53,                0.28255,                0.52611,                0.31467,                0.90992,                0.98487,                0.99898,                  0.995,                0.98377,                0.98487,                0.99898,                  0.995,                0.96458,                0.22836,                0.41442,                0.22592,                0.88109,             0.00012377,             0.00012377,             0.00012377
                     54,                0.27491,                0.52094,                0.30985,                0.90548,                 0.9771,                0.99953,                  0.995,                0.98317,                 0.9771,                0.99953,                  0.995,                 0.9664,                0.21417,                0.40191,                0.19456,                0.87539,              0.0001213,              0.0001213,              0.0001213
                     55,                0.27064,                0.51979,                0.30399,                0.90514,                0.97631,                      1,                  0.995,                0.98407,                0.97631,                      1,                  0.995,                0.96808,                0.21796,                0.40751,                0.20614,                0.87831,             0.00011883,             0.00011883,             0.00011883
                     56,                0.27408,                0.53273,                0.30956,                0.90482,                0.97974,                0.99255,                  0.995,                0.98556,                0.97974,                0.99255,                  0.995,                0.96709,                0.23845,                0.40879,                0.21466,                0.89899,             0.00011635,             0.00011635,             0.00011635
                     57,                0.27581,                0.53958,                0.30408,                0.90444,                0.98741,                0.99476,                  0.995,                0.98695,                0.98741,                0.99476,                  0.995,                0.96826,                0.21524,                0.40391,                0.20416,                0.87614,             0.00011387,             0.00011387,             0.00011387
                     58,                 0.2708,                0.51679,                0.30102,                0.90554,                0.98065,                0.99849,                  0.995,                0.98529,                0.98065,                0.99849,                  0.995,                0.96713,                0.21818,                0.41049,                0.19928,                0.87569,              0.0001114,              0.0001114,              0.0001114
                     59,                0.27307,                0.52441,                0.30597,                0.90424,                0.97491,                0.99363,                  0.995,                0.98098,                0.97491,                0.99363,                  0.995,                0.96867,                0.22701,                0.40569,                 0.1983,                0.89143,             0.00010893,             0.00010893,             0.00010893
                     60,                0.27556,                0.53187,                0.29085,                0.90563,                0.98491,                0.99674,                  0.995,                0.98373,                0.98491,                0.99674,                  0.995,                0.96429,                0.22002,                0.40343,                0.20298,                 0.8747,             0.00010645,             0.00010645,             0.00010645
                     61,                0.26892,                0.50493,                0.28323,                0.90102,                0.98326,                0.99597,                  0.995,                0.98325,                0.98326,                0.99597,                  0.995,                0.96653,                0.22227,                0.40276,                0.19691,                  0.874,             0.00010398,             0.00010398,             0.00010398
                     62,                0.27356,                0.51615,                  0.297,                 0.9046,                0.98768,                 0.9952,                  0.995,                0.98557,                0.98768,                 0.9952,                  0.995,                0.96531,                0.21517,                0.40812,                0.19814,                0.87533,              0.0001015,              0.0001015,              0.0001015
                     63,                  0.266,                0.49751,                0.28328,                0.90182,                0.98464,                0.99233,                  0.995,                 0.9817,                0.98464,                0.99233,                  0.995,                0.96501,                0.21952,                0.40435,                0.18871,                0.87375,             9.9025e-05,             9.9025e-05,             9.9025e-05
                     64,                0.27194,                0.51845,                0.27558,                0.90846,                0.98346,                      1,                  0.995,                0.98635,                0.98346,                      1,                  0.995,                0.97052,                0.21758,                0.40765,                0.18915,                 0.8783,              9.655e-05,              9.655e-05,              9.655e-05
                     65,                  0.279,                0.51589,                0.28247,                 0.9121,                0.98616,                      1,                  0.995,                0.98522,                0.98616,                      1,                  0.995,                0.96831,                0.21848,                0.40818,                0.19844,                0.87859,             9.4075e-05,             9.4075e-05,             9.4075e-05
                     66,                0.26141,                0.50114,                0.27318,                0.90098,                0.98354,                0.99368,                  0.995,                0.98584,                0.98354,                0.99368,                  0.995,                0.96802,                0.21807,                0.40786,                0.18918,                0.87176,               9.16e-05,               9.16e-05,               9.16e-05
                     67,                0.26118,                0.51564,                0.27652,                0.90024,                0.97518,                0.99309,                  0.995,                0.98416,                0.97518,                0.99309,                  0.995,                0.96729,                0.21815,                0.41013,                0.17872,                0.87404,             8.9125e-05,             8.9125e-05,             8.9125e-05
                     68,                0.27137,                0.50568,                 0.2736,                0.90524,                0.98486,                0.99998,                  0.995,                0.98379,                0.98486,                0.99998,                  0.995,                0.96928,                0.21195,                0.40983,                0.18004,                0.87498,              8.665e-05,              8.665e-05,              8.665e-05
                     69,                0.27806,                0.52083,                0.27838,                0.90862,                0.98775,                      1,                  0.995,                0.98469,                0.98775,                      1,                  0.995,                0.96725,                0.21188,                0.40627,                0.19137,                0.86432,             8.4175e-05,             8.4175e-05,             8.4175e-05
                     70,                0.26499,                0.51029,                0.26872,                0.90162,                0.98443,                0.99658,                  0.995,                0.98705,                0.98443,                0.99658,                  0.995,                0.97008,                0.21393,                0.40241,                0.18039,                0.86742,               8.17e-05,               8.17e-05,               8.17e-05
                     71,                0.26086,                0.50096,                0.26406,                0.90225,                0.98838,                0.98912,                  0.995,                0.98616,                0.98838,                0.98912,                  0.995,                0.96937,                0.21885,                0.40889,                0.17163,                0.87994,             7.9225e-05,             7.9225e-05,             7.9225e-05
                     72,                0.26868,                0.50836,                0.26681,                0.90656,                0.98288,                 0.9987,                  0.995,                0.98447,                0.98288,                 0.9987,                  0.995,                0.96796,                0.21106,                0.39921,                0.17445,                0.86912,              7.675e-05,              7.675e-05,              7.675e-05
                     73,                0.26465,                0.50293,                0.25888,                0.90018,                0.98725,                 0.9988,                  0.995,                0.98556,                0.98725,                 0.9988,                  0.995,                0.96749,                0.20732,                 0.3995,                  0.179,                0.87132,             7.4275e-05,             7.4275e-05,             7.4275e-05
                     74,                0.25921,                0.49835,                0.25544,                0.89871,                0.98393,                0.99952,                  0.995,                0.98766,                0.98393,                0.99952,                  0.995,                0.96842,                0.19938,                0.39533,                0.17378,                0.86358,               7.18e-05,               7.18e-05,               7.18e-05
                     75,                0.26032,                0.50253,                0.25341,                0.89851,                0.98652,                      1,                  0.995,                0.98371,                0.98652,                      1,                  0.995,                0.96762,                0.20207,                 0.4044,                0.16493,                0.86156,             6.9325e-05,             6.9325e-05,             6.9325e-05
                     76,                 0.2634,                0.50425,                0.25087,                0.90231,                0.98584,                0.99802,                  0.995,                0.98691,                0.98584,                0.99802,                  0.995,                0.96969,                0.20861,                0.40086,                0.17579,                0.86975,              6.685e-05,              6.685e-05,              6.685e-05
                     77,                0.25795,                 0.4996,                0.25558,                0.89568,                0.98473,                0.99488,                  0.995,                0.98738,                0.98473,                0.99488,                  0.995,                0.97229,                0.21094,                0.40513,                  0.177,                0.86715,             6.4375e-05,             6.4375e-05,             6.4375e-05
                     78,                0.26797,                 0.5044,                0.27454,                0.90241,                0.98703,                 0.9977,                  0.995,                0.98789,                0.98703,                 0.9977,                  0.995,                0.97148,                0.20057,                0.39579,                0.18134,                0.85661,               6.19e-05,               6.19e-05,               6.19e-05
                     79,                0.26823,                0.51544,                0.25543,                0.89918,                0.98831,                0.99395,                  0.995,                0.98728,                0.98831,                0.99395,                  0.995,                0.96981,                0.18966,                0.39583,                0.16003,                0.84663,             5.9425e-05,             5.9425e-05,             5.9425e-05
                     80,                0.26067,                0.49582,                0.24646,                0.89614,                0.98427,                0.99566,                  0.995,                0.98497,                0.98427,                0.99566,                  0.995,                0.96562,                  0.205,                0.40305,                0.16993,                0.86397,              5.695e-05,              5.695e-05,              5.695e-05
                     81,                0.25257,                0.49203,                0.25628,                0.89861,                0.98505,                      1,                  0.995,                0.98617,                0.98505,                      1,                  0.995,                0.97229,                0.21747,                0.40273,                0.19429,                0.87346,             5.4475e-05,             5.4475e-05,             5.4475e-05
                     82,                0.25406,                0.48976,                 0.2497,                0.89977,                0.98826,                0.99911,                  0.995,                0.98683,                0.98826,                0.99911,                  0.995,                0.97113,                 0.2024,                0.39562,                 0.1729,                0.85824,                5.2e-05,                5.2e-05,                5.2e-05
                     83,                0.25789,                0.49964,                 0.2539,                0.90156,                0.98436,                0.99707,                  0.995,                0.98905,                0.98436,                0.99707,                  0.995,                 0.9745,                0.19581,                0.39863,                0.16827,                0.85476,             4.9525e-05,             4.9525e-05,             4.9525e-05
                     84,                0.25687,                 0.4946,                0.23811,                0.89793,                0.98778,                0.99861,                  0.995,                0.98727,                0.98778,                0.99861,                  0.995,                 0.9698,                0.19923,                 0.4007,                0.15927,                0.85573,              4.705e-05,              4.705e-05,              4.705e-05
                     85,                0.25524,                0.48244,                0.23294,                0.89814,                0.98789,                      1,                  0.995,                0.98346,                0.98789,                      1,                  0.995,                0.96984,                0.20208,                0.40272,                0.16404,                0.85832,             4.4575e-05,             4.4575e-05,             4.4575e-05
                     86,                0.25583,                0.50054,                0.23635,                0.89605,                  0.988,                0.99839,                  0.995,                0.98452,                  0.988,                0.99839,                  0.995,                0.96697,                0.20112,                0.39365,                0.15707,                0.85703,               4.21e-05,               4.21e-05,               4.21e-05
                     87,                0.24935,                0.47358,                0.22822,                0.89933,                0.98505,                      1,                  0.995,                0.98584,                0.98505,                      1,                  0.995,                0.97045,                0.19594,                0.39847,                0.15757,                 0.8564,             3.9625e-05,             3.9625e-05,             3.9625e-05
                     88,                0.25408,                0.49124,                0.22885,                0.89371,                0.98971,                      1,                  0.995,                0.98697,                0.98971,                      1,                  0.995,                0.97122,                0.20361,                0.39716,                0.15634,                0.85956,              3.715e-05,              3.715e-05,              3.715e-05
                     89,                0.25395,                0.48753,                0.24924,                 0.9008,                0.98762,                0.99595,                  0.995,                  0.985,                0.98762,                0.99595,                  0.995,                0.96775,                0.19922,                0.39528,                0.16295,                0.85845,             3.4675e-05,             3.4675e-05,             3.4675e-05
                     90,                0.24794,                0.47251,                0.22754,                0.89353,                0.98761,                      1,                  0.995,                0.98667,                0.98761,                      1,                  0.995,                 0.9726,                 0.1971,                0.39435,                0.15512,                0.85551,               3.22e-05,               3.22e-05,               3.22e-05
                     91,                0.16864,                0.35146,                0.25982,                0.88094,                0.98809,                      1,                  0.995,                0.98592,                0.98809,                      1,                  0.995,                 0.9704,                0.20123,                0.39796,                0.17671,                0.86002,             2.9725e-05,             2.9725e-05,             2.9725e-05
                     92,                0.15924,                0.34617,                0.22581,                0.86771,                 0.9874,                0.99541,                  0.995,                0.98783,                 0.9874,                0.99541,                  0.995,                0.97234,                 0.1942,                0.39788,                0.15524,                0.85349,              2.725e-05,              2.725e-05,              2.725e-05
                     93,                  0.158,                0.33989,                0.21717,                0.87263,                0.98811,                0.99851,                  0.995,                0.98794,                0.98811,                0.99851,                  0.995,                0.97239,                0.19505,                0.39735,                0.15139,                 0.8524,             2.4775e-05,             2.4775e-05,             2.4775e-05
                     94,                0.15381,                0.34595,                0.21404,                0.87017,                0.98946,                0.99476,                  0.995,                0.98854,                0.98946,                0.99476,                  0.995,                 0.9728,                0.18972,                 0.3987,                0.14956,                0.85239,               2.23e-05,               2.23e-05,               2.23e-05
                     95,                0.15248,                0.34617,                0.20582,                0.86021,                0.98913,                      1,                  0.995,                0.98985,                0.98913,                      1,                  0.995,                0.97365,                0.18373,                0.39722,                0.14633,                0.84593,             1.9825e-05,             1.9825e-05,             1.9825e-05
                     96,                 0.1477,                0.34055,                0.21232,                0.86383,                0.99023,                      1,                  0.995,                0.98724,                0.99023,                      1,                  0.995,                0.97135,                0.18951,                0.39731,                0.15187,                0.85205,              1.735e-05,              1.735e-05,              1.735e-05
                     97,                0.14926,                0.33745,                0.20444,                0.86387,                0.99197,                0.99838,                  0.995,                0.98802,                0.99197,                0.99838,                  0.995,                0.97151,                0.18221,                0.39757,                0.13972,                0.84618,             1.4875e-05,             1.4875e-05,             1.4875e-05
                     98,                0.14757,                0.34086,                0.20618,                0.86222,                0.98989,                      1,                  0.995,                 0.9885,                0.98989,                      1,                  0.995,                0.97259,                0.18317,                0.39584,                0.14886,                0.84558,               1.24e-05,               1.24e-05,               1.24e-05
                     99,                0.14874,                0.34567,                 0.1952,                0.86131,                  0.991,                      1,                  0.995,                0.98821,                  0.991,                      1,                  0.995,                0.97221,                0.18394,                0.39592,                0.14523,                0.84632,              9.925e-06,              9.925e-06,              9.925e-06
                    100,                0.14387,                0.33562,                 0.1941,                0.86052,                0.99003,                      1,                  0.995,                 0.9876,                0.99003,                      1,                  0.995,                0.97281,                0.18328,                0.39574,                0.14361,                0.84631,               7.45e-06,               7.45e-06,               7.45e-06
